Test unit,R5
Reference,Mazzon (2010)
-0.13,-0,-0.009
-0.13,0.6,-0.009
-0.12,1.2,-0.008
-0.11,1.8,-0.008
-0.1,2.2,-0.007
-0.1,2.5,-0.007
-0.09,2.9,-0.006
-0.07,3.4,-0.005
-0.05,4.7,-0.004
-0.03,7.2,-0.002
-0.01,10.4,-0
0.02,12.3,0.001
0.03,13.6,0.002
0.04,13.8,0.003
0.05,13.8,0.003
0.05,14.5,0.004
0.06,15.8,0.004
0.08,17.3,0.006
0.1,18.8,0.007
0.11,20.2,0.008
0.13,21.2,0.009
0.14,21.8,0.01
0.14,22.2,0.01
0.15,22.9,0.011
0.18,23.9,0.012
0.19,25.1,0.013
0.19,26.3,0.014
0.2,27.3,0.014
0.21,27.9,0.014
0.21,28.7,0.015
0.23,29.8,0.016
0.24,31,0.017
0.26,31.9,0.018
0.27,32.3,0.019
0.27,32.4,0.019
0.28,33.2,0.019
0.29,34.5,0.021
0.31,36,0.022
0.33,37.2,0.023
0.34,37.6,0.024
0.35,37.5,0.024
0.37,38.1,0.026
0.37,39.5,0.026
0.38,40.9,0.027
0.39,41.9,0.027
0.4,42.4,0.028
0.4,42.4,0.028
0.41,42.3,0.028
0.41,42.7,0.029
0.42,43.5,0.03
0.43,44.7,0.03
0.45,46,0.031
0.46,47,0.032
0.47,47.3,0.033
0.47,47.1,0.033
0.48,47.3,0.033
0.49,48,0.034
0.51,48.9,0.036
0.52,49.3,0.036
0.52,49.6,0.036
0.52,50.1,0.036
0.52,50.7,0.037
0.53,51.2,0.037
0.54,51.7,0.038
0.54,52,0.038
0.55,52.6,0.039
0.56,53.2,0.039
0.57,53.4,0.04
0.57,53.3,0.04
0.58,53.4,0.04
0.58,54.1,0.041
0.59,54.8,0.041
0.59,54.9,0.042
0.6,54.9,0.042
0.62,55.1,0.043
0.62,55.5,0.044
0.62,56.1,0.044
0.62,56.4,0.044
0.62,56.1,0.044
0.62,55.8,0.043
0.62,55.7,0.044
0.63,56.5,0.044
0.65,57.5,0.045
0.65,58,0.046
0.65,57.8,0.046
0.66,57,0.046
0.66,56,0.046
0.66,55.3,0.046
0.66,55.2,0.046
0.66,55.6,0.046
0.67,56.6,0.047
0.68,57.3,0.047
0.68,57.5,0.047
0.67,57.5,0.047
0.67,57.5,0.047
0.67,57.4,0.047
0.67,57.3,0.047
0.67,57.4,0.047
0.67,57.3,0.047
0.67,57,0.047
0.67,56.6,0.047
0.67,56.1,0.047
0.68,55.7,0.047
0.67,55.4,0.047
0.68,55.2,0.047
0.68,54.7,0.047
0.68,54.2,0.047
0.69,53.4,0.048
0.69,52.8,0.048
0.68,52.1,0.048
0.68,50.7,0.048
0.68,48.9,0.048
0.68,46.9,0.047
0.67,44.6,0.047
0.67,42.6,0.047
0.67,41.7,0.046
0.66,41.2,0.046
0.66,40.7,0.046
0.66,39.8,0.046
0.66,38.9,0.046
0.65,38,0.046
0.65,37.5,0.045
0.65,37.2,0.045
0.65,36.6,0.046
0.66,35.3,0.046
0.64,34.3,0.045
0.63,33.7,0.044
0.62,33.4,0.043
0.62,33.4,0.043
0.61,33.4,0.043
0.61,32.8,0.043
0.61,31.6,0.042
0.6,30.4,0.042
0.59,29.5,0.041
0.58,28.9,0.041
0.58,28.6,0.041
0.57,27.9,0.04
0.56,27,0.039
0.56,26.1,0.039
0.55,25.2,0.039
0.55,24.5,0.039
0.56,24,0.039
0.54,23.3,0.038
0.53,22.4,0.037
0.52,21.5,0.036
0.5,20.6,0.035
0.49,19.5,0.034
0.48,18.6,0.034
0.47,17.7,0.033
0.47,16.8,0.033
0.46,16.2,0.032
0.45,15.5,0.032
0.44,14.6,0.031
0.43,13.5,0.03
0.42,12.7,0.029
0.41,12.1,0.029
0.41,11.6,0.028
0.41,10.7,0.029
0.4,9.7,0.028
0.38,8.6,0.027
0.37,7.7,0.026
0.35,6.7,0.025
0.34,5.8,0.024
0.33,4.8,0.023
0.32,3.8,0.023
0.31,2.9,0.022
0.31,2.1,0.021
0.3,1.4,0.021
0.29,0.7,0.02
0.28,0.2,0.02
0.28,0.2,0.02
0.28,0.1,0.019
0.28,-0,0.019
0.28,-0.2,0.019
0.28,-0.8,0.02
0.26,-3.2,0.018
0.21,-7.4,0.015
0.17,-10.3,0.012
0.15,-11.3,0.01
0.14,-11.4,0.01
0.14,-11.6,0.01
0.13,-12.7,0.009
0.12,-14.2,0.008
0.1,-15.6,0.007
0.09,-16.7,0.006
0.08,-17.5,0.005
0.07,-18.5,0.005
0.06,-19.5,0.004
0.04,-20.6,0.003
0.03,-21.8,0.002
0.03,-22.8,0.002
0.02,-23.9,0.001
-0,-24.9,-0
-0.02,-25.8,-0.001
-0.03,-26.7,-0.002
-0.05,-27.6,-0.003
-0.06,-28.4,-0.004
-0.07,-29.5,-0.005
-0.09,-30.9,-0.006
-0.1,-32.5,-0.007
-0.12,-33.5,-0.008
-0.13,-34.1,-0.009
-0.13,-34.6,-0.009
-0.15,-35.5,-0.01
-0.16,-36.5,-0.011
-0.17,-37.4,-0.012
-0.18,-38.5,-0.013
-0.18,-39.4,-0.012
-0.19,-40.3,-0.013
-0.21,-41,-0.015
-0.23,-42,-0.016
-0.24,-43.2,-0.017
-0.26,-44,-0.018
-0.26,-44.7,-0.018
-0.27,-45.4,-0.019
-0.28,-46.4,-0.02
-0.3,-47.2,-0.021
-0.31,-48,-0.021
-0.32,-49,-0.022
-0.33,-50.1,-0.023
-0.35,-51,-0.024
-0.36,-51.8,-0.025
-0.37,-52.6,-0.026
-0.37,-53.1,-0.026
-0.37,-53.7,-0.026
-0.38,-54.2,-0.027
-0.41,-55.3,-0.028
-0.43,-56.6,-0.03
-0.44,-57.7,-0.031
-0.45,-58,-0.031
-0.45,-58.2,-0.031
-0.46,-58.8,-0.032
-0.47,-59.4,-0.033
-0.47,-59.9,-0.033
-0.48,-60.4,-0.034
-0.49,-61.4,-0.034
-0.5,-62.2,-0.035
-0.51,-62.8,-0.036
-0.52,-63.5,-0.037
-0.53,-64,-0.037
-0.53,-64,-0.037
-0.53,-64.2,-0.037
-0.55,-65.1,-0.039
-0.57,-66.2,-0.04
-0.59,-67.1,-0.041
-0.61,-67.9,-0.042
-0.62,-68.5,-0.043
-0.62,-68.5,-0.043
-0.62,-68.3,-0.044
-0.63,-68.9,-0.044
-0.64,-69.4,-0.045
-0.65,-69.9,-0.046
-0.66,-70.3,-0.046
-0.67,-70.7,-0.047
-0.68,-71.1,-0.047
-0.69,-71.8,-0.048
-0.7,-72.1,-0.049
-0.69,-72.3,-0.048
-0.7,-72.6,-0.049
-0.72,-73.2,-0.05
-0.73,-73.6,-0.051
-0.74,-74,-0.052
-0.75,-74.3,-0.052
-0.76,-74.6,-0.053
-0.76,-74.6,-0.053
-0.76,-74.3,-0.053
-0.76,-74.3,-0.053
-0.77,-75.3,-0.054
-0.78,-76.5,-0.055
-0.79,-77,-0.055
-0.79,-76.9,-0.055
-0.8,-76.8,-0.056
-0.8,-77,-0.056
-0.8,-77,-0.056
-0.79,-76.9,-0.055
-0.8,-77.3,-0.056
-0.82,-78,-0.057
-0.83,-78.6,-0.058
-0.84,-78.7,-0.059
-0.84,-78.4,-0.059
-0.84,-77.8,-0.059
-0.84,-77.1,-0.059
-0.84,-76.7,-0.059
-0.84,-77.2,-0.059
-0.85,-78.9,-0.059
-0.86,-80.2,-0.06
-0.87,-79.9,-0.061
-0.87,-79.2,-0.061
-0.87,-78,-0.061
-0.88,-76.7,-0.061
-0.87,-75.9,-0.061
-0.87,-75.5,-0.061
-0.88,-75.3,-0.061
-0.88,-75.3,-0.062
-0.88,-75.5,-0.062
-0.89,-76.5,-0.062
-0.88,-77.8,-0.062
-0.88,-78.7,-0.061
-0.88,-78.9,-0.061
-0.88,-78.9,-0.062
-0.88,-78.8,-0.062
-0.88,-78.6,-0.062
-0.88,-78.8,-0.062
-0.88,-78.8,-0.062
-0.88,-78.7,-0.062
-0.88,-78.4,-0.062
-0.88,-78,-0.061
-0.87,-77.3,-0.061
-0.87,-76.7,-0.061
-0.88,-75.8,-0.062
-0.89,-74.7,-0.062
-0.9,-73.7,-0.063
-0.9,-72.6,-0.063
-0.9,-71.7,-0.063
-0.9,-70.8,-0.063
-0.9,-69.7,-0.063
-0.9,-68.4,-0.063
-0.9,-67.1,-0.063
-0.89,-65.8,-0.062
-0.88,-65,-0.062
-0.88,-65,-0.062
-0.88,-65.3,-0.062
-0.88,-65.8,-0.061
-0.87,-65.9,-0.061
-0.86,-65,-0.06
-0.86,-63.5,-0.06
-0.86,-62.3,-0.06
-0.85,-62,-0.06
-0.85,-62,-0.06
-0.85,-62,-0.059
-0.85,-62,-0.059
-0.85,-61.6,-0.059
-0.84,-60.6,-0.058
-0.82,-59.7,-0.058
-0.81,-59.1,-0.057
-0.81,-58.9,-0.057
-0.8,-58.6,-0.056
-0.8,-58.3,-0.056
-0.79,-57.8,-0.056
-0.79,-57.4,-0.055
-0.77,-56.8,-0.054
-0.76,-56,-0.053
-0.76,-55,-0.053
-0.75,-54.3,-0.053
-0.74,-53.6,-0.052
-0.74,-52.8,-0.052
-0.73,-52.4,-0.051
-0.73,-52.3,-0.051
-0.73,-52.2,-0.051
-0.72,-51.3,-0.05
-0.71,-50,-0.05
-0.7,-49,-0.049
-0.69,-48.4,-0.048
-0.69,-48,-0.048
-0.68,-47.5,-0.048
-0.68,-46.9,-0.047
-0.66,-46.4,-0.046
-0.64,-45.6,-0.045
-0.64,-44.6,-0.045
-0.63,-43.1,-0.044
-0.62,-41.8,-0.043
-0.61,-40.9,-0.043
-0.61,-40.5,-0.042
-0.6,-40.3,-0.042
-0.6,-40,-0.042
-0.58,-39.1,-0.041
-0.57,-37.7,-0.04
-0.56,-36.4,-0.039
-0.54,-35.5,-0.038
-0.53,-34.7,-0.037
-0.52,-33.9,-0.036
-0.51,-33,-0.036
-0.5,-32.2,-0.035
-0.48,-31.4,-0.034
-0.47,-30.6,-0.033
-0.47,-29.6,-0.033
-0.46,-28.6,-0.032
-0.46,-27.5,-0.032
-0.45,-26.6,-0.031
-0.44,-25.7,-0.031
-0.43,-24.9,-0.03
-0.42,-23.8,-0.029
-0.4,-22.7,-0.028
-0.39,-21.6,-0.027
-0.38,-20.4,-0.026
-0.36,-19.2,-0.025
-0.35,-18.1,-0.024
-0.34,-16.9,-0.023
-0.32,-15.8,-0.023
-0.31,-14.9,-0.022
-0.29,-14.4,-0.02
-0.28,-13.8,-0.02
-0.28,-13,-0.019
-0.27,-12,-0.019
-0.26,-10.7,-0.018
-0.25,-9.4,-0.017
-0.23,-8.1,-0.016
-0.22,-7.1,-0.015
-0.21,-6.2,-0.014
-0.19,-5.2,-0.014
-0.18,-4.3,-0.013
-0.17,-3.5,-0.012
-0.16,-2.5,-0.011
-0.15,-1.3,-0.01
-0.13,0.1,-0.009
-0.12,1.1,-0.008
-0.1,1.8,-0.007
-0.08,2.2,-0.006
-0.08,2.6,-0.006
-0.08,3.2,-0.006
-0.07,4.6,-0.005
-0.03,8.4,-0.002
0.03,13.1,0.002
0.06,16.5,0.004
0.09,18,0.006
0.1,17.9,0.007
0.1,17.6,0.007
0.1,18.6,0.007
0.12,20.8,0.009
0.15,23.1,0.01
0.18,25.1,0.012
0.2,27,0.014
0.22,28.3,0.016
0.25,29.4,0.018
0.27,30.3,0.019
0.27,31.2,0.019
0.29,32.6,0.02
0.3,34.3,0.021
0.32,36.1,0.023
0.35,37.7,0.024
0.37,39.2,0.026
0.38,40.5,0.027
0.4,41.7,0.028
0.42,43,0.029
0.43,44.1,0.03
0.45,45.2,0.031
0.46,46.2,0.032
0.47,47.6,0.033
0.49,48.8,0.034
0.51,49.8,0.036
0.54,50.7,0.038
0.55,51.6,0.038
0.56,52.7,0.039
0.57,54,0.04
0.59,55.3,0.041
0.61,56.6,0.043
0.63,57.7,0.044
0.65,58.7,0.045
0.66,59.1,0.046
0.67,59.6,0.047
0.69,60.2,0.048
0.71,60.9,0.049
0.72,61.3,0.051
0.74,61.9,0.052
0.75,62.8,0.053
0.77,63.6,0.054
0.8,64.2,0.056
0.82,64.8,0.057
0.83,65.4,0.058
0.83,65.9,0.058
0.84,66,0.059
0.85,66.3,0.059
0.86,66.8,0.06
0.88,67.4,0.061
0.89,68,0.062
0.9,68.3,0.063
0.92,68.6,0.064
0.93,68.9,0.065
0.94,69.1,0.066
0.95,69.4,0.067
0.96,69.6,0.067
0.97,69.6,0.068
0.98,69.8,0.068
1,70.4,0.07
1.02,71.4,0.071
1.03,72,0.072
1.03,72,0.072
1.04,71.7,0.073
1.03,71.2,0.072
1.04,70.8,0.073
1.04,70.8,0.073
1.06,71.8,0.074
1.07,72.6,0.075
1.08,72.8,0.075
1.09,72.5,0.076
1.09,72,0.076
1.09,71.7,0.076
1.09,71.4,0.076
1.09,71.6,0.077
1.11,72.5,0.078
1.13,73.1,0.079
1.14,73.1,0.079
1.13,72.7,0.079
1.13,72.3,0.079
1.13,72,0.079
1.12,71.7,0.079
1.13,72,0.079
1.14,72.4,0.08
1.14,72.3,0.08
1.14,72.1,0.08
1.14,72.1,0.08
1.14,71.9,0.08
1.14,71.3,0.08
1.15,70.6,0.08
1.15,70.1,0.08
1.15,69.6,0.08
1.16,69.1,0.081
1.17,68.8,0.082
1.16,68.5,0.081
1.15,67.9,0.081
1.15,66.9,0.08
1.15,66.1,0.08
1.15,65.4,0.08
1.15,64,0.081
1.15,62,0.081
1.15,60,0.08
1.14,58.4,0.08
1.13,57.1,0.079
1.12,56.2,0.079
1.12,55.6,0.078
1.12,55.4,0.078
1.12,55.5,0.078
1.11,54.8,0.078
1.12,53.5,0.078
1.11,52.1,0.077
1.09,51.2,0.076
1.07,50.7,0.075
1.06,50.3,0.074
1.06,50.2,0.074
1.06,49.8,0.074
1.05,48.7,0.074
1.04,47.3,0.073
1.02,45.8,0.071
1.01,44.7,0.07
1,43.7,0.07
0.98,43.1,0.069
0.98,43.2,0.069
0.98,43,0.069
0.97,41.9,0.068
0.96,40.1,0.067
0.95,38.6,0.067
0.93,37.8,0.065
0.92,37.4,0.064
0.91,36.6,0.063
0.89,35.2,0.062
0.87,33.6,0.061
0.86,32.5,0.06
0.85,32,0.059
0.84,31.6,0.059
0.83,30.5,0.058
0.81,29,0.057
0.8,27.5,0.056
0.79,26.2,0.055
0.77,24.9,0.054
0.76,23.6,0.053
0.75,22.6,0.052
0.75,21.8,0.052
0.74,20.7,0.052
0.72,19.4,0.051
0.71,18.2,0.049
0.69,17,0.048
0.67,15.8,0.047
0.66,14.6,0.046
0.65,13.3,0.045
0.63,11.8,0.044
0.61,10.6,0.043
0.6,9.4,0.042
0.58,8,0.041
0.57,6.9,0.04
0.55,5.6,0.038
0.53,4.4,0.037
0.52,3.2,0.036
0.5,2,0.035
0.5,1.2,0.035
0.49,0.4,0.034
0.47,-0,0.033
0.46,-0.1,0.032
0.46,-0.3,0.032
0.45,-0.7,0.031
0.43,-2.9,0.03
0.38,-8.2,0.026
0.33,-12.6,0.023
0.3,-14.5,0.021
0.28,-14.6,0.02
0.28,-14.5,0.02
0.27,-15.5,0.019
0.26,-17.1,0.018
0.23,-19,0.016
0.21,-21.2,0.014
0.19,-22.9,0.013
0.18,-24.4,0.013
0.15,-25.7,0.011
0.13,-26.7,0.009
0.11,-27.6,0.008
0.09,-28.9,0.007
0.08,-30.3,0.006
0.06,-32,0.004
0.03,-33.6,0.002
0.01,-35.2,0.001
-0.01,-36.7,-0.001
-0.03,-38.2,-0.002
-0.05,-39.2,-0.003
-0.06,-40.1,-0.004
-0.08,-41.2,-0.005
-0.09,-42.4,-0.007
-0.11,-43.7,-0.008
-0.12,-44.8,-0.008
-0.13,-45.9,-0.009
-0.16,-47.3,-0.011
-0.19,-48.7,-0.013
-0.21,-50.1,-0.015
-0.23,-51.1,-0.016
-0.24,-52,-0.017
-0.25,-53.1,-0.018
-0.27,-54.5,-0.019
-0.3,-55.8,-0.021
-0.31,-56.9,-0.022
-0.33,-57.9,-0.023
-0.34,-58.6,-0.024
-0.36,-59.6,-0.025
-0.38,-60.9,-0.026
-0.4,-62.2,-0.028
-0.41,-63.4,-0.029
-0.41,-64.3,-0.029
-0.43,-65.2,-0.03
-0.45,-66.1,-0.032
-0.48,-67.1,-0.033
-0.49,-68.2,-0.035
-0.51,-69.1,-0.036
-0.53,-69.9,-0.037
-0.55,-70.9,-0.038
-0.57,-71.6,-0.04
-0.58,-72.3,-0.041
-0.6,-73.1,-0.042
-0.62,-73.8,-0.043
-0.63,-74.6,-0.044
-0.65,-75.4,-0.046
-0.67,-76.3,-0.047
-0.69,-77.2,-0.048
-0.69,-77.9,-0.048
-0.7,-78.5,-0.049
-0.72,-78.9,-0.05
-0.74,-79.2,-0.052
-0.76,-79.9,-0.053
-0.78,-80.8,-0.055
-0.8,-81.6,-0.056
-0.81,-82.4,-0.057
-0.83,-82.8,-0.058
-0.84,-83.1,-0.059
-0.85,-83.4,-0.06
-0.86,-83.5,-0.06
-0.88,-83.7,-0.061
-0.9,-84,-0.063
-0.91,-84.3,-0.063
-0.92,-84.6,-0.064
-0.93,-85,-0.065
-0.93,-85.6,-0.065
-0.94,-86,-0.066
-0.96,-86.1,-0.067
-0.97,-86,-0.068
-0.98,-86.2,-0.068
-0.98,-86.7,-0.069
-1,-87.1,-0.07
-1.01,-87.6,-0.071
-1.02,-88.1,-0.072
-1.04,-88.6,-0.073
-1.05,-88.8,-0.074
-1.06,-88.8,-0.074
-1.07,-88.7,-0.075
-1.08,-88.9,-0.075
-1.09,-89.2,-0.076
-1.11,-89.5,-0.077
-1.11,-89.5,-0.078
-1.1,-89.2,-0.077
-1.12,-89.2,-0.078
-1.13,-89.6,-0.079
-1.15,-89.9,-0.08
-1.16,-90.2,-0.081
-1.17,-90.3,-0.082
-1.18,-90.1,-0.082
-1.18,-90.1,-0.083
-1.19,-90.4,-0.083
-1.2,-90.7,-0.084
-1.21,-90.9,-0.084
-1.21,-90.9,-0.085
-1.22,-90.6,-0.085
-1.22,-90.5,-0.085
-1.23,-90.7,-0.086
-1.24,-90.9,-0.086
-1.23,-90.9,-0.086
-1.23,-90.8,-0.086
-1.24,-90.8,-0.087
-1.25,-90.8,-0.087
-1.26,-90.9,-0.088
-1.27,-90.9,-0.089
-1.27,-90.9,-0.088
-1.27,-91,-0.089
-1.28,-91,-0.089
-1.28,-91,-0.089
-1.28,-90.7,-0.089
-1.28,-90.6,-0.089
-1.28,-90.6,-0.09
-1.29,-90.8,-0.09
-1.29,-90.8,-0.09
-1.29,-90.2,-0.09
-1.29,-89.2,-0.09
-1.28,-88.7,-0.089
-1.28,-88,-0.09
-1.3,-87.3,-0.091
-1.31,-86.5,-0.091
-1.31,-85.8,-0.092
-1.31,-85.2,-0.092
-1.3,-84.7,-0.091
-1.3,-84.2,-0.091
-1.3,-83.9,-0.091
-1.3,-83.5,-0.091
-1.3,-83,-0.091
-1.3,-82.1,-0.091
-1.3,-80.8,-0.091
-1.29,-79.7,-0.09
-1.29,-79,-0.09
-1.29,-78.8,-0.09
-1.28,-79,-0.089
-1.27,-79.2,-0.089
-1.27,-78.9,-0.089
-1.28,-77.6,-0.089
-1.27,-76.6,-0.089
-1.27,-76.2,-0.089
-1.26,-76.2,-0.088
-1.26,-76.4,-0.088
-1.26,-76.4,-0.088
-1.26,-75.6,-0.088
-1.24,-74.4,-0.087
-1.24,-73.7,-0.086
-1.23,-73.3,-0.086
-1.22,-72.9,-0.086
-1.22,-72.4,-0.085
-1.22,-71.7,-0.085
-1.21,-71.2,-0.084
-1.19,-70.9,-0.083
-1.18,-70.4,-0.082
-1.17,-69.7,-0.082
-1.17,-69.1,-0.082
-1.16,-68.4,-0.081
-1.15,-67.6,-0.08
-1.14,-66.8,-0.079
-1.13,-66.1,-0.079
-1.11,-65.2,-0.078
-1.1,-64.9,-0.077
-1.09,-64.5,-0.076
-1.08,-64,-0.076
-1.07,-63.1,-0.075
-1.06,-62,-0.074
-1.04,-61,-0.073
-1.03,-60.1,-0.072
-1.01,-59.2,-0.071
-0.98,-58.3,-0.069
-0.97,-57.5,-0.068
-0.97,-56.8,-0.068
-0.96,-55.8,-0.067
-0.95,-54.9,-0.066
-0.94,-54,-0.066
-0.93,-53.3,-0.065
-0.92,-52.6,-0.064
-0.9,-51.5,-0.063
-0.89,-50.2,-0.062
-0.87,-49,-0.061
-0.86,-48,-0.06
-0.85,-47.2,-0.059
-0.83,-46.3,-0.058
-0.82,-45.4,-0.057
-0.81,-44.3,-0.056
-0.78,-43.1,-0.055
-0.76,-41.7,-0.053
-0.75,-40.3,-0.052
-0.73,-39.3,-0.051
-0.72,-38.3,-0.05
-0.71,-37.3,-0.05
-0.7,-36,-0.049
-0.68,-34.5,-0.047
-0.66,-33,-0.046
-0.64,-31.8,-0.045
-0.62,-30.7,-0.044
-0.61,-29.6,-0.043
-0.59,-28.2,-0.042
-0.58,-26.8,-0.04
-0.56,-25.6,-0.039
-0.54,-24.3,-0.038
-0.52,-22.9,-0.037
-0.49,-21.5,-0.034
-0.47,-20.1,-0.033
-0.46,-18.8,-0.032
-0.45,-17.5,-0.031
-0.43,-16.2,-0.03
-0.41,-14.9,-0.029
-0.4,-13.5,-0.028
-0.38,-12.3,-0.026
-0.36,-11.2,-0.025
-0.34,-10.1,-0.024
-0.32,-8.8,-0.023
-0.3,-7.2,-0.021
-0.28,-5.7,-0.02
-0.26,-4.1,-0.018
-0.24,-2.7,-0.017
-0.22,-1.6,-0.016
-0.2,-0.4,-0.014
-0.17,0.4,-0.012
-0.17,1.2,-0.012
-0.16,1.7,-0.011
-0.16,2,-0.011
-0.16,2.3,-0.011
-0.15,3,-0.011
-0.13,4.7,-0.009
-0.09,8.8,-0.006
-0.04,12.6,-0.003
-0,15.1,-0
0.02,16.2,0.001
0.03,16.4,0.002
0.04,16.6,0.002
0.05,17.7,0.003
0.07,19.3,0.005
0.1,21.1,0.007
0.13,22.5,0.009
0.16,23.7,0.011
0.17,25.2,0.012
0.19,26.8,0.013
0.21,28.1,0.014
0.22,29.2,0.016
0.24,30,0.017
0.26,30.7,0.018
0.27,32.1,0.019
0.29,34,0.02
0.31,35.6,0.022
0.33,36.8,0.023
0.35,37.8,0.024
0.36,38.7,0.025
0.38,39.3,0.026
0.39,40.2,0.027
0.41,41.5,0.029
0.44,43,0.031
0.46,44.4,0.032
0.47,45.4,0.033
0.48,46.3,0.034
0.5,47.2,0.035
0.51,47.8,0.036
0.53,48.7,0.037
0.55,49.7,0.038
0.56,50.6,0.039
0.59,51.9,0.041
0.61,53.1,0.043
0.63,54,0.044
0.64,54.7,0.045
0.65,55.3,0.046
0.67,55.9,0.047
0.69,56.8,0.048
0.71,57.7,0.05
0.73,58.4,0.051
0.75,59.2,0.052
0.76,60.2,0.053
0.77,61.2,0.054
0.79,62,0.055
0.8,62.4,0.056
0.81,62.8,0.057
0.82,63.2,0.058
0.83,63.5,0.058
0.85,64.1,0.059
0.86,64.9,0.06
0.88,66.1,0.061
0.9,67,0.063
0.91,67.4,0.064
0.92,67.3,0.064
0.92,67,0.065
0.94,67.6,0.066
0.97,68.8,0.067
0.98,69.8,0.068
0.98,69.9,0.069
0.98,69.5,0.069
0.98,69.2,0.068
0.99,69.6,0.069
1.01,70.2,0.07
1.02,70.5,0.071
1.02,70.5,0.071
1.03,70.8,0.072
1.04,71.4,0.073
1.05,71.8,0.074
1.06,72.1,0.074
1.07,72,0.074
1.07,72.1,0.075
1.08,72.4,0.076
1.1,72.6,0.077
1.11,72.6,0.077
1.1,72.5,0.077
1.1,72.5,0.077
1.11,72.8,0.077
1.11,73,0.078
1.12,72.9,0.078
1.12,72.5,0.078
1.12,72,0.078
1.12,71.6,0.079
1.12,71.4,0.079
1.13,71.5,0.079
1.14,72.4,0.079
1.14,72.6,0.08
1.14,72.4,0.08
1.14,72.2,0.08
1.15,71.8,0.08
1.16,71.2,0.081
1.16,70.7,0.081
1.15,70.7,0.08
1.14,70.6,0.08
1.14,70.4,0.08
1.14,69.7,0.08
1.14,68.6,0.08
1.15,67.8,0.08
1.15,67.2,0.08
1.15,66.2,0.08
1.15,64.7,0.08
1.15,63.1,0.08
1.15,61.5,0.08
1.14,60,0.08
1.14,59.1,0.079
1.13,58.7,0.079
1.14,58.1,0.08
1.14,57.2,0.079
1.12,56.1,0.078
1.11,55.2,0.078
1.1,54.5,0.077
1.09,53.8,0.076
1.09,53.1,0.076
1.08,52.6,0.076
1.08,52.2,0.075
1.07,51.4,0.075
1.06,50.4,0.074
1.05,49.5,0.073
1.04,48.6,0.073
1.03,47.8,0.072
1.02,47.3,0.072
1.01,46.8,0.071
1.01,46.1,0.071
1.01,45.2,0.071
1,44.3,0.07
0.98,43.2,0.069
0.96,42,0.067
0.94,41,0.066
0.93,40.2,0.065
0.93,39.7,0.065
0.92,39.1,0.064
0.91,38.3,0.063
0.89,37.3,0.063
0.88,36,0.061
0.86,34.9,0.06
0.85,34.1,0.06
0.84,33.3,0.059
0.83,32.1,0.058
0.81,30.7,0.057
0.81,29.5,0.056
0.8,28.5,0.056
0.79,27.6,0.055
0.77,26.5,0.054
0.75,25.2,0.052
0.73,23.9,0.051
0.72,22.8,0.05
0.7,21.6,0.049
0.69,20.6,0.048
0.67,19.6,0.047
0.66,18.6,0.046
0.65,17.5,0.045
0.63,16.2,0.044
0.61,14.6,0.043
0.59,13,0.041
0.58,11.7,0.04
0.56,10.7,0.039
0.56,9.7,0.039
0.55,8.5,0.039
0.53,7.4,0.037
0.51,6.4,0.036
0.49,5.2,0.034
0.48,3.9,0.033
0.46,2.7,0.032
0.44,1.7,0.031
0.43,0.9,0.03
0.41,0,0.029
0.41,-0.1,0.028
0.4,-0.2,0.028
0.4,-0.4,0.028
0.39,-1,0.027
0.35,-4,0.025
0.29,-9.2,0.021
0.25,-13,0.017
0.23,-14.4,0.016
0.22,-14.4,0.015
0.21,-14.8,0.014
0.19,-15.9,0.013
0.17,-17.3,0.012
0.16,-19,0.011
0.13,-20.8,0.009
0.11,-22.4,0.008
0.09,-23.7,0.007
0.07,-24.9,0.005
0.06,-26.1,0.004
0.04,-27.4,0.003
0.02,-28.6,0.001
-0,-29.8,-0
-0.02,-31.2,-0.002
-0.05,-32.8,-0.003
-0.06,-34.5,-0.004
-0.08,-35.9,-0.005
-0.1,-37,-0.007
-0.13,-38.2,-0.009
-0.15,-39.3,-0.01
-0.17,-40.6,-0.012
-0.19,-41.7,-0.013
-0.21,-42.8,-0.015
-0.22,-43.8,-0.016
-0.24,-44.8,-0.017
-0.26,-45.9,-0.018
-0.27,-47,-0.019
-0.29,-48.2,-0.02
-0.31,-49.5,-0.022
-0.33,-50.7,-0.023
-0.35,-51.8,-0.024
-0.36,-52.7,-0.025
-0.37,-53.8,-0.026
-0.39,-55.1,-0.027
-0.41,-56.3,-0.029
-0.44,-57.5,-0.03
-0.45,-58.6,-0.032
-0.48,-59.5,-0.033
-0.49,-60.6,-0.034
-0.51,-61.5,-0.036
-0.52,-62.1,-0.037
-0.54,-62.6,-0.037
-0.55,-63.6,-0.038
-0.57,-64.8,-0.04
-0.59,-65.9,-0.041
-0.61,-66.7,-0.043
-0.63,-67.6,-0.044
-0.65,-68.6,-0.045
-0.66,-69.3,-0.046
-0.65,-69.7,-0.046
-0.67,-70.3,-0.047
-0.7,-71.3,-0.049
-0.72,-72.1,-0.05
-0.73,-72.7,-0.051
-0.74,-73.3,-0.052
-0.76,-74,-0.053
-0.78,-74.8,-0.054
-0.79,-75.5,-0.055
-0.81,-76,-0.057
-0.82,-76.6,-0.058
-0.84,-77.1,-0.059
-0.85,-77.7,-0.06
-0.87,-78.5,-0.061
-0.88,-79.2,-0.062
-0.9,-79.8,-0.063
-0.9,-80.4,-0.063
-0.91,-80.9,-0.064
